source,source_doi,source_coda_id,recording_id,date,time_in_recording_s,n_clicks,coda_duration_s,whale_photo_id,local_speaker_id,social_unit,clan,coda_type,location,latitude,longitude,ICI1,ICI2,ICI3,ICI4,ICI5,ICI6,ICI7,ICI8,ICI9,ICI10,ICI11,ICI12,ICI13,ICI14,ICI15,ICI16,ICI17,ICI18,ICI19,ICI20,ICI21,ICI22,ICI23,ICI24,ICI25,ICI26,ICI27,ICI28,ICI29,ICI30,ICI31,ICI32,ICI33,ICI34,ICI35,ICI36,ICI37,ICI38,ICI39,ICI40
sharma2024_dswp,10.1038/s41467-024-47221-8,37,,25/03/2008,,8,1.061,,,A,EC1,8R,"Dominica, Eastern Caribbean",,,0.246,0.183,0.131,0.096,0.101,0.122,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,38,,25/03/2008,,9,0.962,,,A,EC1,9-NOISE,"Dominica, Eastern Caribbean",,,0.163,0.149,0.115,0.092,0.099,0.105,0.101,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,39,,25/03/2008,,9,1.079,,,A,EC1,9R,"Dominica, Eastern Caribbean",,,0.168,0.187,0.118,0.09,0.107,0.113,0.096,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,40,,25/03/2008,,5,0.326,,,A,EC1,5R1,"Dominica, Eastern Caribbean",,,0.097,0.071,0.076,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,41,,25/03/2008,,6,0.352,,,A,EC1,6i,"Dominica, Eastern Caribbean",,,0.067,0.067,0.072,0.06,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,42,,05/02/2009,,4,0.882,,,A,EC1,4R2,"Dominica, Eastern Caribbean",,,0.303,0.288,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,43,,05/02/2009,,4,0.882,5720,,A,EC1,4R2,"Dominica, Eastern Caribbean",,,0.302,0.287,0.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,44,,05/02/2009,,4,1.023,5720,,A,EC1,4R2,"Dominica, Eastern Caribbean",,,0.339,0.35,0.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,45,,05/02/2009,,4,1.012,5720,,A,EC1,4R2,"Dominica, Eastern Caribbean",,,0.345,0.326,0.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,46,,05/02/2009,,4,1.054,5720,,A,EC1,4R2,"Dominica, Eastern Caribbean",,,0.363,0.344,0.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,47,,05/02/2009,,4,1.069,5720,,A,EC1,4R2,"Dominica, Eastern Caribbean",,,0.365,0.352,0.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,48,,05/02/2009,,4,1.076,5720,,A,EC1,4R2,"Dominica, Eastern Caribbean",,,0.366,0.358,0.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
