source,source_doi,source_coda_id,recording_id,date,time_in_recording_s,n_clicks,coda_duration_s,whale_photo_id,local_speaker_id,social_unit,clan,location,latitude,longitude,rhythm,extra_click,ICI1,ICI2,ICI3,ICI4,ICI5,ICI6,ICI7,ICI8,ICI9,ICI10,ICI11,ICI12,ICI13,ICI14,ICI15,ICI16,ICI17,ICI18,ICI19,ICI20,ICI21,ICI22,ICI23,ICI24,ICI25,ICI26,ICI27,ICI28,ICI29,ICI30,ICI31,ICI32,ICI33,ICI34,ICI35,ICI36,ICI37,ICI38,ICI39,ICI40
sharma2025_birth,10.1038/s41598-025-27438-3,row18,CETI23-277,2023,19.30397,4,0.711290000000001,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.227679999999999,0.233340000000002,0.25027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row19,CETI23-277,2023,19.63327,5,0.7207000000000019,,CETI23-277_seg2,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.22298,0.22204,0.1496,0.126080000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row20,CETI23-277,2023,20.4835,5,0.7448500000000001,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.220559999999999,0.231810000000003,0.166439999999998,0.12604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row21,CETI23-277,2023,21.38112,5,0.6841400000000001,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.243950000000002,0.165319999999998,0.140460000000001,0.134409999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row22,CETI23-277,2023,23.74725,5,0.7432099999999979,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.217869999999998,0.229420000000001,0.166879999999999,0.12904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row23,CETI23-277,2023,25.41548,5,0.681540000000002,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.256710000000002,0.16262,0.13063,0.13158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row24,CETI23-277,2023,26.50806,6,0.9698999999999989,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.227959999999999,0.219360000000002,0.233329999999999,0.159140000000001,0.130109999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row25,CETI23-277,2023,27.11344,5,0.739789999999999,,CETI23-277_seg2,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.21828,0.227959999999999,0.16236,0.13119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row26,CETI23-277,2023,28.31402,30,0.5926900000000013,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.01342,0.0101399999999998,0.0234000000000023,0.017789999999998,0.0185600000000008,0.0341500000000003,0.0211199999999998,0.0133799999999979,0.0120000000000005,0.012080000000001,0.0159599999999998,0.0101900000000015,0.0164599999999986,0.0157899999999991,0.0154100000000028,0.0181699999999978,0.0135600000000018,0.0214199999999991,0.0133800000000015,0.0120999999999967,0.0187100000000022,0.0162699999999987,0.015270000000001,0.0161200000000008,0.0157500000000006,0.0157799999999995,0.0321999999999996,0.041879999999999,0.0922300000000007,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row27,CETI23-277,2023,30.00746,5,0.67435,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.216810000000002,0.178149999999999,0.133770000000002,0.145619999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
