codanum,focal,whale,codatype,Duration,handv
6449,True,TWEAK,6-NOISE,0.887225,
6450,True,TWEAK,1+1+3,0.674065,
6451,True,TWEAK,1+1+3,0.663,a
6453,True,TWEAK,5R1,0.2882167,a
6454,True,TWEAK,5R1,0.345625,a
6455,True,TWEAK,5R1,0.3563667,a
6456,True,TWEAK,5R1,0.3593167,a
6460,True,TWEAK,6i,0.2305284,a
6461,True,TWEAK,9i,0.3288833,a
6462,True,FORK,1+1+3,1.300934,a
6463,True,FORK,1+1+3,1.314225,a
6464,True,FORK,1+1+3,1.285558,a
6465,True,FORK,1+1+3,1.302867,a
6466,True,FORK,1+1+3,1.26735,a
6467,True,FORK,1+1+3,1.284125,a
6468,True,FORK,1+1+3,1.292325,a
6475,True,FORK,1+1+3,1.1989167,a
6476,True,FORK,1+1+3,1.1761584,i
6477,True,FORK,1+1+3,1.1653667,i
6478,True,FORK,1+1+3,1.2098083,a
6486,True,FORK,1+1+3,1.2745,a
6487,True,FORK,1+1+3,1.274625,a
6488,True,FORK,1+1+3,1.3393583,i
6489,True,FORK,1+1+3,1.329525,a
6490,True,FORK,1+1+3,1.325425,a
6491,True,FORK,1+1+3,1.3078584,a
6495,True,FORK,1+1+3,1.330075,a
6496,True,FORK,1+1+3,1.3260365,a
6497,True,FORK,1+1+3,1.2996083,a
6500,True,FORK,1+1+3,1.261975,i
6501,True,FORK,1+1+3,1.2488,i
6502,True,FORK,1+1+3,1.2465667,a
6509,True,FORK,1+1+3,1.2045666,a
6510,True,FORK,1+1+3,1.2031333,a
6511,True,FORK,1+1+3,1.2751083,a
6512,True,FORK,1+1+3,1.2618334,a
6513,True,FORK,1+1+3,1.2998583,a
6514,True,FORK,1+1+3,1.3204667,a
6578,True,FORK,6i,0.523925,a
6579,True,FORK,8i,0.67705,a
6580,True,FORK,9i,0.7117167,a
6582,True,FORK,1+1+3,0.7823666,i
6583,True,FORK,1+1+3,0.8254166,i
6584,True,FORK,1+1+3,0.7618583,i
6585,True,FORK,1+1+3,0.7944679,i
6586,True,FORK,6-NOISE,1.0240417,i
6587,True,FORK,1+1+3,0.8040417,i
6588,True,FORK,1+1+3,0.738475,i
6589,True,FORK,1+1+3,0.7623166,i
6590,True,FORK,1+1+3,0.8043667,i
6591,True,FORK,1+1+3,0.8500333,i
6592,True,FORK,1+1+3,0.900125,i
6593,True,FORK,1+1+3,0.9329917,i
6594,True,FORK,1+1+3,0.9717584,i
6595,True,FORK,1+1+3,0.9998,i
6596,True,FORK,1+1+3,0.9838975,i
6597,True,FORK,1+1+3,0.9981667,i
6598,True,FORK,1+1+3,1.0166084,i
6599,True,FORK,1+1+3,1.0250167,i
6600,True,FORK,1+1+3,1.0894333,i
6601,True,FORK,1+1+3,1.0808167,i
6621,True,FORK,1+1+3,1.2803,a
6622,True,FORK,1+1+3,1.3142333,a
6623,True,FORK,1+1+3,1.3190417,a
6624,True,FORK,1+1+3,1.277225,a
6625,True,FORK,1+1+3,1.2821,a
6626,True,FORK,1+1+3,1.2557917,a
6627,True,FORK,1+1+3,1.2859917,a
6628,True,FORK,1+1+3,1.25155,a
6629,True,FORK,1+1+3,1.2526416,a
6630,True,FORK,1+1+3,1.2709667,a
6631,True,FORK,1+1+3,1.2365334,a
6632,True,FORK,1+1+3,1.2219667,a
6633,True,FORK,1+1+3,1.2018227,a
6634,True,FORK,1+1+3,1.2266416,a
6635,True,FORK,1+1+3,1.2481584,a
6636,True,FORK,1+1+3,1.2688504,a
6637,True,FORK,1+1+3,1.1718321,
6638,True,FORK,1+1+3,1.266275,i
6639,True,FORK,1+1+3,1.28115,i
6640,True,FORK,1+1+3,1.2727833,i
6641,True,FORK,1+1+3,1.2759674,i
6642,True,FORK,1+1+3,1.2856583,a
6643,True,FORK,1+1+3,1.2931333,a
6644,True,FORK,1+1+3,1.1904192,
6645,True,FORK,1+1+3,1.1809584,
6646,True,FORK,1+1+3,1.1562417,i
6647,True,FORK,1+1+3,1.302925,i
6648,True,FORK,1+1+3,1.2842167,i
6649,True,FORK,1+1+3,1.2831334,i
6650,True,FORK,7D2,1.6034416,i
6651,True,FORK,1+1+3,1.1783,a
6652,True,FORK,1+1+3,1.1784333,a
6653,True,FORK,1+1+3,1.1355,a
6675,True,FORK,9i,0.3850584,a
6676,True,FORK,9i,0.4015,a
6677,True,FORK,9i,0.426925,a
6678,True,FORK,9i,0.4140833,a
6681,True,FORK,5R2,0.5169,a
6682,True,FORK,5R2,0.5201416,a
6683,True,FORK,5R2,0.52085,a
