prevspecidx,whale,coart,prevcodanum,codanum,prevclicknum,clicknum,prevaudidx,audidx,prevhandvcat,handvcat,handvsubtype,prevtagondt,tagondt,prevcodadt,codadt,prevcodaenddt,codaenddt,pairt1,midt,pairt2,deltasec,specidx,prevspecpk,specpk,prevpkidx,pkidx,prevpkfq,pkfq,prevf1pk,f1pk,f2pk,prevf2pk,prevnumpks,numpks
0,ATWOOD,aa,4985,4986,9,1,109,110,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:29:02.002500000,2015-02-03 11:29:07.350800000,2015-02-03 11:29:02.395550000,2015-02-03 11:29:07.706983300,0.0,0.015,0.03,4.95525,1,6796.875,6328.125,[29],[27],[6796.875],[6328.125],6796.875,6328.125,,,1,1
2,ATWOOD,aa,4986,4987,8,1,117,118,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:29:07.350800000,2015-02-03 11:29:12.795300000,2015-02-03 11:29:07.706983300,2015-02-03 11:29:13.105133300,0.03,0.045,0.06,5.0883167,3,6562.5,6796.875,[28],[29],[6562.5],[6796.875],6562.5,6796.875,,,1,1
4,ATWOOD,aa,4987,4988,5,1,122,123,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:29:12.795300000,2015-02-03 11:29:17.849100000,2015-02-03 11:29:13.105133300,2015-02-03 11:29:18.190525000,0.06,0.075,0.09,4.7439667,5,6796.875,6796.875,[29],[29],[6796.875],[6796.875],6796.875,6796.875,,,1,1
6,ATWOOD,aa,4988,4989,5,1,127,128,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:29:17.849100000,2015-02-03 11:29:23.391000000,2015-02-03 11:29:18.190525000,2015-02-03 11:29:23.764491700,0.09,0.105,0.12,5.200475,7,7031.25,6562.5,[30],[28],[7031.25],[6562.5],7031.25,6562.5,,,1,1
8,ATWOOD,aa,4989,4990,6,1,133,134,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:29:23.391000000,2015-02-03 11:29:41.892800000,2015-02-03 11:29:23.764491700,2015-02-03 11:29:42.233341700,0.12,0.135,0.15,18.1283083,9,6328.125,6796.875,[27],[29],[6328.125],[6796.875],6328.125,6796.875,,,1,1
10,ATWOOD,aa,4990,4991,5,1,138,139,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:29:41.892800000,2015-02-03 11:29:47.590900000,2015-02-03 11:29:42.233341700,2015-02-03 11:29:47.926758400,0.15,0.165,0.18,5.3575583,11,6562.5,6562.5,[28],[28],[6562.5],[6562.5],6562.5,6562.5,,,1,1
12,ATWOOD,aa,4991,4992,5,1,143,144,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:29:47.590900000,2015-02-03 11:29:53.378800000,2015-02-03 11:29:47.926758400,2015-02-03 11:29:53.707058300,0.18,0.195,0.21,5.4520416,13,6562.5,6562.5,[28],[28],[6562.5],[6562.5],6562.5,6562.5,,,1,1
14,ATWOOD,aa,4992,4993,5,1,148,149,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:29:53.378800000,2015-02-03 11:29:58.405700000,2015-02-03 11:29:53.707058300,2015-02-03 11:29:58.739800000,0.21,0.225,0.24,4.6986417,15,6562.5,6796.875,[28],[29],[6562.5],[6796.875],6562.5,6796.875,,,1,1
16,ATWOOD,aa,4993,4994,5,1,153,154,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:29:58.405700000,2015-02-03 11:30:04.176600000,2015-02-03 11:29:58.739800000,2015-02-03 11:30:04.493775000,0.24,0.255,0.27,5.4368,17,6562.5,7031.25,[28],[30],[6562.5],[7031.25],6562.5,7031.25,,,1,1
18,ATWOOD,aa,4994,4995,5,1,158,159,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:30:04.176600000,2015-02-03 11:30:09.176300000,2015-02-03 11:30:04.493775000,2015-02-03 11:30:09.567175000,0.27,0.285,0.3,4.682525,19,6562.5,6796.875,[28],[29],[6562.5],[6796.875],6562.5,6796.875,,,1,1
20,ATWOOD,aa,4995,4996,6,1,164,165,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:30:09.176300000,2015-02-03 11:30:14.330800000,2015-02-03 11:30:09.567175000,2015-02-03 11:30:14.660591600,0.3,0.315,0.33,4.763625,21,6562.5,6093.75,[28],[26],[6562.5],[6093.75],6562.5,6093.75,,,1,1
22,ATWOOD,aa,4996,4997,5,1,169,170,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:30:14.330800000,2015-02-03 11:30:19.388400000,2015-02-03 11:30:14.660591600,2015-02-03 11:30:19.726833300,0.33,0.345,0.36,4.7278084,23,6093.75,6328.125,[26],[27],[6093.75],[6328.125],6093.75,6328.125,,,1,1
24,ATWOOD,aa,4997,4998,5,1,174,175,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:30:19.388400000,2015-02-03 11:30:23.804000000,2015-02-03 11:30:19.726833300,2015-02-03 11:30:24.151983300,0.36,0.375,0.39,4.0771667,25,6328.125,6328.125,[27],[27],[6328.125],[6328.125],6328.125,6328.125,,,1,1
26,ATWOOD,aa,4998,4999,5,1,179,180,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:30:23.804000000,2015-02-03 11:30:28.299100000,2015-02-03 11:30:24.151983300,2015-02-03 11:30:28.706616700,0.39,0.405,0.42,4.1471167,27,6328.125,6562.5,[27],[28],[6328.125],[6562.5],6328.125,6562.5,,,1,1
28,ATWOOD,aa,4999,5012,6,1,185,186,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:30:28.299100000,2015-02-03 11:30:57.130500000,2015-02-03 11:30:28.706616700,2015-02-03 11:30:57.549925000,0.42,0.435,0.45,28.4238833,29,6328.125,6796.875,[27],[29],[6328.125],[6796.875],6328.125,6796.875,,,1,1
30,ATWOOD,aa,5012,5013,6,1,191,192,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:30:57.130500000,2015-02-03 11:31:01.453600000,2015-02-03 11:30:57.549925000,2015-02-03 11:31:01.780200000,0.45,0.465,0.48,3.903675,31,6562.5,6796.875,[28],[29],[6562.5],[6796.875],6562.5,6796.875,,,1,1
32,ATWOOD,aa,5013,5014,5,1,196,197,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:31:01.453600000,2015-02-03 11:31:07.889600000,2015-02-03 11:31:01.780200000,2015-02-03 11:31:08.249291600,0.48,0.495,0.51,6.1094,33,6562.5,7031.25,[28],[30],[6562.5],[7031.25],6562.5,7031.25,,,1,1
34,ATWOOD,aa,5014,5015,5,1,201,202,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:31:07.889600000,2015-02-03 11:31:13.547100000,2015-02-03 11:31:08.249291600,2015-02-03 11:31:13.926458300,0.51,0.525,0.54,5.2978084,35,6562.5,6796.875,[28],[29],[6562.5],[6796.875],6562.5,6796.875,,,1,1
36,ATWOOD,aa,5063,5064,6,1,318,319,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 12:32:43.487500000,2015-02-03 12:32:48.958500000,2015-02-03 12:32:43.892600000,2015-02-03 12:32:49.277841700,0.54,0.555,0.57,5.0659,37,6562.5,6562.5,[28],[28],[6562.5],[6562.5],6562.5,6562.5,,,1,1
38,ATWOOD,aa,5064,5065,5,1,323,324,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 12:32:48.958500000,2015-02-03 12:32:54.575700000,2015-02-03 12:32:49.277841700,2015-02-03 12:32:54.898383400,0.57,0.585,0.6,5.2978583,39,6093.75,7265.625,[26],[31],[6093.75],[7265.625],6093.75,7265.625,,,1,1
40,ATWOOD,aa,5065,5066,5,1,328,329,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 12:32:54.575700000,2015-02-03 12:32:59.325100000,2015-02-03 12:32:54.898383400,2015-02-03 12:32:59.695841700,0.6,0.615,0.63,4.4267166,41,6328.125,7031.25,[27],[30],[6328.125],[7031.25],6328.125,7031.25,,,1,1
42,ATWOOD,aa,5066,5067,6,1,334,335,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 12:32:59.325100000,2015-02-03 12:33:03.860100000,2015-02-03 12:32:59.695841700,2015-02-03 12:33:04.209941700,0.63,0.645,0.66,4.1642583,43,6328.125,6562.5,[27],[28],[6328.125],[6562.5],6328.125,6562.5,,,1,1
44,ATWOOD,aa,5067,5068,5,1,339,340,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 12:33:03.860100000,2015-02-03 12:33:13.673100000,2015-02-03 12:33:04.209941700,2015-02-03 12:33:14.102000000,0.66,0.675,0.69,9.4631583,45,6328.125,6562.5,[27],[28],[6328.125],[6562.5],6328.125,6562.5,,,1,1
46,ATWOOD,aa,5068,5069,5,1,344,345,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 12:33:13.673100000,2015-02-03 12:33:18.950700000,2015-02-03 12:33:14.102000000,2015-02-03 12:33:19.305608300,0.69,0.705,0.72,4.8487,47,6328.125,6328.125,[27],[27],[6328.125],[6328.125],6328.125,6328.125,,,1,1
48,ATWOOD,aa,5069,5070,5,1,349,350,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 12:33:18.950700000,2015-02-03 12:33:26.156600000,2015-02-03 12:33:19.305608300,2015-02-03 12:33:26.517725000,0.72,0.735,0.75,6.8509917,49,6093.75,6328.125,[26],[27],[6093.75],[6328.125],6093.75,6328.125,,,1,1
50,ATWOOD,aa,5070,5071,5,1,354,355,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 12:33:26.156600000,2015-02-03 12:33:30.875800000,2015-02-03 12:33:26.517725000,2015-02-03 12:33:31.215308300,0.75,0.765,0.78,4.358075,51,6093.75,6093.75,[26],[26],[6093.75],[6093.75],6093.75,6093.75,,,1,1
52,ATWOOD,aa,5071,5072,5,1,359,360,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 12:33:30.875800000,2015-02-03 12:33:35.419000000,2015-02-03 12:33:31.215308300,2015-02-03 12:33:35.802350000,0.78,0.795,0.81,4.2036917,53,6093.75,6562.5,[26],[28],[6093.75],[6562.5],6093.75,6562.5,,,1,1
54,ATWOOD,aa,5072,5073,5,1,364,365,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 12:33:35.419000000,2015-02-03 12:33:39.910300000,2015-02-03 12:33:35.802350000,2015-02-03 12:33:40.300458400,0.81,0.825,0.84,4.10795,55,6328.125,6328.125,[27],[27],[6328.125],[6328.125],6328.125,6328.125,,,1,1
56,ATWOOD,aa,5073,5074,6,1,370,371,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 12:33:39.910300000,2015-02-03 12:33:44.591900000,2015-02-03 12:33:40.300458400,2015-02-03 12:33:45.010996700,0.84,0.855,0.87,4.2914416,57,6328.125,6328.125,[27],[27],[6328.125],[6328.125],6328.125,6328.125,,,1,1
58,ATWOOD,aa,5074,5086,5,1,375,376,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 12:33:44.591900000,2015-02-03 13:20:02.467400000,2015-02-03 12:33:45.010996700,2015-02-03 13:20:03.507989000,0.87,0.885,0.9,2777.4564033,59,6093.75,7031.25,[26],[30],[6093.75],[7031.25],6093.75,7031.25,,,1,1
60,ATWOOD,aa,5086,5087,6,1,381,382,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 13:20:02.467400000,2015-02-03 13:20:06.251300000,2015-02-03 13:20:03.507989000,2015-02-03 13:20:07.511809300,0.9,0.915,0.93,2.743311,61,7031.25,7031.25,[30],[30],[7031.25],[7031.25],7031.25,7031.25,,,1,1
62,ATWOOD,aa,5087,5088,6,1,387,388,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 13:20:06.251300000,2015-02-03 13:20:08.541200000,2015-02-03 13:20:07.511809300,2015-02-03 13:20:10.402702400,0.93,0.945,0.96,1.0293907,63,6796.875,6796.875,[29],[29],[6796.875],[6796.875],6796.875,6796.875,,,1,1
64,ATWOOD,aa,5091,5092,5,1,412,413,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 13:20:18.801200000,2015-02-03 13:20:21.961600000,2015-02-03 13:20:19.771691700,2015-02-03 13:20:22.977060700,0.96,0.975,0.99,2.1899083,65,6328.125,6328.125,[27],[27],[6328.125],[6328.125],6328.125,6328.125,,,1,1
66,ATWOOD,aa,5092,5093,5,1,417,418,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 13:20:21.961600000,2015-02-03 13:20:25.466500000,2015-02-03 13:20:22.977060700,2015-02-03 13:20:26.597615600,0.99,1.005,1.02,2.4894393,67,6093.75,6562.5,[26],[28],[6093.75],[6562.5],6093.75,6562.5,,,1,1
68,ATWOOD,aa,5093,5094,5,1,422,423,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 13:20:25.466500000,2015-02-03 13:20:29.226000000,2015-02-03 13:20:26.597615600,2015-02-03 13:20:30.370363600,1.02,1.035,1.05,2.6283844,69,6562.5,7031.25,[28],[17 30],[6562.5],[3984.375 7031.25 ],6562.5,3984.375,7031.25,,1,2
70,ATWOOD,aa,5094,5095,5,1,427,428,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 13:20:29.226000000,2015-02-03 13:20:32.912500000,2015-02-03 13:20:30.370363600,2015-02-03 13:20:34.133847500,1.05,1.065,1.08,2.5421364,71,6093.75,6328.125,[26],[27],[6093.75],[6328.125],6093.75,6328.125,,,1,1
72,ATWOOD,aa,5095,5096,5,1,432,433,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 13:20:32.912500000,2015-02-03 13:20:36.827700000,2015-02-03 13:20:34.133847500,2015-02-03 13:20:38.065359800,1.08,1.095,1.11,2.6938525,73,6093.75,6328.125,[26],[27],[6093.75],[6328.125],6093.75,6328.125,,,1,1
74,ATWOOD,aa,5096,5119,5,1,437,438,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 13:20:36.827700000,2015-02-03 13:20:50.816600000,2015-02-03 13:20:38.065359800,2015-02-03 13:20:52.063696300,1.11,1.125,1.14,12.7512402,75,6562.5,6796.875,[28],[29],[6562.5],[6796.875],6562.5,6796.875,,,1,1
76,ATWOOD,aa,5119,5120,5,1,442,443,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 13:20:50.816600000,2015-02-03 13:20:55.166300000,2015-02-03 13:20:52.063696300,2015-02-03 13:20:56.408665500,1.14,1.155,1.17,3.1026037,77,6796.875,7031.25,[29],[30],[6796.875],[7031.25],6796.875,7031.25,,,1,1
78,ATWOOD,aa,5120,5121,5,1,447,448,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 13:20:55.166300000,2015-02-03 13:20:59.198600000,2015-02-03 13:20:56.408665500,2015-02-03 13:21:00.482608300,1.17,1.185,1.2,2.7899345,79,6796.875,6562.5,[29],[28],[6796.875],[6562.5],6796.875,6562.5,,,1,1
80,ATWOOD,aa,5121,5122,5,1,452,453,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 13:20:59.198600000,2015-02-03 13:21:03.033800000,2015-02-03 13:21:00.482608300,2015-02-03 13:21:04.281426700,1.2,1.215,1.23,2.5511917,81,6562.5,6562.5,[28],[28],[6562.5],[6562.5],6562.5,6562.5,,,1,1
82,ATWOOD,aa,5122,5123,5,1,457,458,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 13:21:03.033800000,2015-02-03 13:21:33.236600000,2015-02-03 13:21:04.281426700,2015-02-03 13:21:34.441150000,1.23,1.245,1.26,28.9551733,83,6562.5,6328.125,[28],[27],[6562.5],[6328.125],6562.5,6328.125,,,1,1
84,ATWOOD,aa,5123,5124,5,1,462,463,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 13:21:33.236600000,2015-02-03 13:21:41.666000000,2015-02-03 13:21:34.441150000,2015-02-03 13:21:43.015900000,1.26,1.275,1.29,7.22485,85,6562.5,7031.25,[28],[30],[6562.5],[7031.25],6562.5,7031.25,,,1,1
86,ATWOOD,aa,5124,5125,5,1,467,468,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 13:21:41.666000000,2015-02-03 13:21:45.443600000,2015-02-03 13:21:43.015900000,2015-02-03 13:21:46.863208400,1.29,1.305,1.32,2.4277,87,6562.5,6796.875,[28],[29],[6562.5],[6796.875],6562.5,6796.875,,,1,1
88,ATWOOD,aa,5125,5126,5,1,472,473,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 13:21:45.443600000,2015-02-03 13:21:49.475500000,2015-02-03 13:21:46.863208400,2015-02-03 13:21:50.813251900,1.32,1.335,1.35,2.6122916,89,6796.875,6796.875,[29],[29],[6796.875],[6796.875],6796.875,6796.875,,,1,1
90,ATWOOD,aa,5126,5127,5,1,477,478,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 13:21:49.475500000,2015-02-03 13:21:55.799400000,2015-02-03 13:21:50.813251900,2015-02-03 13:21:56.798495800,1.35,1.365,1.38,4.9861481,91,6562.5,5625.0,[28],[24],[6562.5],[5625.],6562.5,5625.0,,,1,1
92,ATWOOD,aa,5160,5161,5,1,512,513,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 14:25:32.034100000,2015-02-03 14:25:40.322800000,2015-02-03 14:25:32.363431400,2015-02-03 14:25:40.639800000,1.38,1.395,1.41,7.9593686,93,6093.75,6093.75,[26],[26],[6093.75],[6093.75],6093.75,6093.75,,,1,1
94,ATWOOD,aa,5161,5162,5,1,517,518,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 14:25:40.322800000,2015-02-03 14:25:44.479000000,2015-02-03 14:25:40.639800000,2015-02-03 14:25:44.817500000,1.41,1.425,1.44,3.8392,95,6328.125,6093.75,[27],[26],[6328.125],[6093.75],6328.125,6093.75,,,1,1
96,ATWOOD,aa,5162,5163,5,1,522,523,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 14:25:44.479000000,2015-02-03 14:25:48.427300000,2015-02-03 14:25:44.817500000,2015-02-03 14:25:49.194325000,1.44,1.455,1.47,3.6098,97,6562.5,5625.0,[28],[24],[6562.5],[5625.],6562.5,5625.0,,,1,1
98,ATWOOD,aa,5165,5166,5,1,537,538,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 14:25:57.059400000,2015-02-03 14:26:01.641500000,2015-02-03 14:25:57.830250000,2015-02-03 14:26:02.424250000,1.47,1.485,1.5,3.81125,99,6328.125,6328.125,[27],[27],[6328.125],[6328.125],6328.125,6328.125,,,1,1
100,ATWOOD,aa,5166,5167,5,1,542,543,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 14:26:01.641500000,2015-02-03 14:26:05.992600000,2015-02-03 14:26:02.424250000,2015-02-03 14:26:06.747133300,1.5,1.515,1.53,3.56835,101,6328.125,6328.125,[27],[27],[6328.125],[6328.125],6328.125,6328.125,,,1,1
102,ATWOOD,aa,5167,5168,5,1,547,548,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 14:26:05.992600000,2015-02-03 14:26:10.249500000,2015-02-03 14:26:06.747133300,2015-02-03 14:26:10.985625000,1.53,1.545,1.56,3.5023667,103,6328.125,6562.5,[16 27],[28],[3750.    6328.125],[6562.5],3750.0,6562.5,,6328.125,2,1
104,ATWOOD,aa,5168,5169,5,1,552,553,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 14:26:10.249500000,2015-02-03 14:26:27.055500000,2015-02-03 14:26:10.985625000,2015-02-03 14:26:27.460741700,1.56,1.575,1.59,16.069875,105,7265.625,6562.5,[31],[28],[7265.625],[6562.5],7265.625,6562.5,,,1,1
106,ATWOOD,aa,5169,5170,6,1,558,559,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 14:26:27.055500000,2015-02-03 14:26:32.283200000,2015-02-03 14:26:27.460741700,2015-02-03 14:26:32.627425000,1.59,1.605,1.62,4.8224583,107,6328.125,6328.125,[27],[27],[6328.125],[6328.125],6328.125,6328.125,,,1,1
108,ATWOOD,aa,5170,5171,5,1,563,564,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 14:26:32.283200000,2015-02-03 14:26:37.094900000,2015-02-03 14:26:32.627425000,2015-02-03 14:26:37.439516700,1.62,1.635,1.65,4.467475,109,6093.75,6328.125,[26],[27],[6093.75],[6328.125],6093.75,6328.125,,,1,1
110,ATWOOD,aa,5171,5172,5,1,568,569,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 14:26:37.094900000,2015-02-03 14:26:41.911000000,2015-02-03 14:26:37.439516700,2015-02-03 14:26:42.250466600,1.65,1.665,1.68,4.4714833,111,6328.125,6328.125,[27],[27],[6328.125],[6328.125],6328.125,6328.125,,,1,1
112,ATWOOD,aa,5172,5173,5,1,573,574,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 14:26:41.911000000,2015-02-03 14:26:46.924400000,2015-02-03 14:26:42.250466600,2015-02-03 14:26:47.293708300,1.68,1.695,1.71,4.6739334,113,6328.125,6562.5,[27],[28],[6328.125],[6562.5],6328.125,6562.5,,,1,1
114,ATWOOD,aa,5173,5174,5,1,578,579,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 14:26:46.924400000,2015-02-03 14:26:51.735900000,2015-02-03 14:26:47.293708300,2015-02-03 14:26:52.064783300,1.71,1.725,1.74,4.4421917,115,6328.125,7031.25,[27],[30],[6328.125],[7031.25],6328.125,7031.25,,,1,1
116,ATWOOD,aa,5174,5175,5,1,583,584,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 14:26:51.735900000,2015-02-03 14:26:57.044000000,2015-02-03 14:26:52.064783300,2015-02-03 14:26:57.353616600,1.74,1.755,1.77,4.9792167,117,6562.5,7031.25,[28],[30],[6562.5],[7031.25],6562.5,7031.25,,,1,1
118,ATWOOD,aa,5175,5190,5,1,588,589,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 14:26:57.044000000,2015-02-03 14:27:12.597300000,2015-02-03 14:26:57.353616600,2015-02-03 14:27:12.917425000,1.77,1.785,1.8,15.2436834,119,6328.125,6562.5,[27],[28],[6328.125],[6562.5],6328.125,6562.5,,,1,1
120,ATWOOD,aa,5190,5191,5,1,593,594,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 14:27:12.597300000,2015-02-03 14:27:16.808600000,2015-02-03 14:27:12.917425000,2015-02-03 14:27:17.139883300,1.8,1.815,1.83,3.891175,121,6562.5,7031.25,[28],[30],[6562.5],[7031.25],6562.5,7031.25,,,1,1
122,ATWOOD,aa,5191,5192,5,1,598,599,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 14:27:16.808600000,2015-02-03 14:27:21.352300000,2015-02-03 14:27:17.139883300,2015-02-03 14:27:21.700316600,1.83,1.845,1.86,4.2124167,123,6796.875,6796.875,[29],[29],[6796.875],[6796.875],6796.875,6796.875,,,1,1
124,ATWOOD,aa,5192,5193,5,1,603,604,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 14:27:21.352300000,2015-02-03 14:27:25.686000000,2015-02-03 14:27:21.700316600,2015-02-03 14:27:26.039583400,1.86,1.875,1.89,3.9856834,125,6562.5,6796.875,[28],[29],[6562.5],[6796.875],6562.5,6796.875,,,1,1
126,ATWOOD,aa,5193,5194,5,1,608,609,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 14:27:25.686000000,2015-02-03 14:28:14.528599999,2015-02-03 14:27:26.039583400,2015-02-03 14:28:14.924791699,1.89,1.905,1.92,48.489016599,127,6562.5,6796.875,[28],[29],[6562.5],[6796.875],6562.5,6796.875,,,1,1
128,ATWOOD,aa,5194,5195,10,1,618,619,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 14:28:14.528599999,2015-02-03 14:28:25.362700000,2015-02-03 14:28:14.924791699,2015-02-03 14:28:25.739008400,1.92,1.935,1.95,10.437908301,129,7031.25,6796.875,[30],[29],[7031.25],[6796.875],7031.25,6796.875,,,1,1
130,ATWOOD,aa,5195,5196,9,1,627,628,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 14:28:25.362700000,2015-02-03 15:10:09.787600000,2015-02-03 14:28:25.739008400,2015-02-03 15:10:11.160558300,1.95,1.965,1.98,2504.0485916,131,7031.25,7031.25,[30],[30],[7031.25],[7031.25],7031.25,7031.25,,,1,1
132,ATWOOD,aa,5196,5197,5,1,632,633,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 15:10:09.787600000,2015-02-03 15:10:13.797000000,2015-02-03 15:10:11.160558300,2015-02-03 15:10:15.199495300,1.98,1.995,2.01,2.6364417,133,6796.875,6796.875,[29],[29],[6796.875],[6796.875],6796.875,6796.875,,,1,1
134,ATWOOD,aa,5197,5198,5,1,637,638,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 15:10:13.797000000,2015-02-03 15:10:17.805500000,2015-02-03 15:10:15.199495300,2015-02-03 15:10:19.169275000,2.01,2.025,2.04,2.6060047,135,6796.875,6796.875,[29],[29],[6796.875],[6796.875],6796.875,6796.875,,,1,1
136,ATWOOD,aa,5198,5199,5,1,642,643,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 15:10:17.805500000,2015-02-03 15:10:21.521200000,2015-02-03 15:10:19.169275000,2015-02-03 15:10:22.877658300,2.04,2.055,2.07,2.351925,137,6796.875,6796.875,[29],[29],[6796.875],[6796.875],6796.875,6796.875,,,1,1
138,ATWOOD,aa,5199,5200,5,1,647,648,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 15:10:21.521200000,2015-02-03 15:10:25.219800000,2015-02-03 15:10:22.877658300,2015-02-03 15:10:26.642333300,2.07,2.085,2.1,2.3421417,139,6796.875,6796.875,[29],[29],[6796.875],[6796.875],6796.875,6796.875,,,1,1
140,ATWOOD,aa,5200,5201,5,1,652,653,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 15:10:25.219800000,2015-02-03 15:10:30.286500000,2015-02-03 15:10:26.642333300,2015-02-03 15:10:31.674525000,2.1,2.115,2.13,3.6441667,141,6796.875,6796.875,[29],[29],[6796.875],[6796.875],6796.875,6796.875,,,1,1
142,ATWOOD,aa,5201,5202,5,1,657,658,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 15:10:30.286500000,2015-02-03 15:10:34.223600000,2015-02-03 15:10:31.674525000,2015-02-03 15:10:35.571675000,2.13,2.145,2.16,2.549075,143,6562.5,6562.5,[28],[28],[6562.5],[6562.5],6562.5,6562.5,,,1,1
144,ATWOOD,aa,5204,5205,5,1,672,673,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 15:10:45.107600000,2015-02-03 15:10:49.097800000,2015-02-03 15:10:46.247450000,2015-02-03 15:10:50.183150000,2.16,2.175,2.19,2.85035,145,6562.5,6796.875,[28],[29],[6562.5],[6796.875],6562.5,6796.875,,,1,1
