CodaNumber,nClicks,Length,ICI1,ICI2,ICI3,ICI4,ICI5,ICI6,ICI7,ICI8,ICI9,CodaName,Unit,WhaleID,Date
69,5,0.917,0.28,0.315,0.161,0.161,0,0,0,0,0,1+1+3,1,0,39849
70,5,0.816,0.258,0.27,0.148,0.14,0,0,0,0,0,1+1+3,1,0,39849
71,5,0.862,0.269,0.265,0.181,0.147,0,0,0,0,0,1+1+3,1,0,39849
72,5,0.809,0.251,0.28,0.15,0.128,0,0,0,0,0,1+1+3,1,0,39849
73,5,0.819,0.191,0.292,0.182,0.154,0,0,0,0,0,1+1+3,1,0,40198
74,5,0.881,0.281,0.27,0.187,0.143,0,0,0,0,0,1+1+3,1,0,40198
75,5,0.873,0.264,0.279,0.186,0.144,0,0,0,0,0,1+1+3,1,0,40198
76,5,0.875,0.274,0.265,0.189,0.147,0,0,0,0,0,1+1+3,1,0,40198
77,5,0.887,0.268,0.291,0.19,0.138,0,0,0,0,0,1+1+3,1,0,40198
78,5,0.178,0.036,0.032,0.044,0.066,0,0,0,0,0,NOISE,1,0,40198
79,5,0.259,0.054,0.066,0.064,0.075,0,0,0,0,0,5R1,1,0,40198
80,5,0.917,0.307,0.304,0.168,0.138,0,0,0,0,0,1+1+3,1,0,40198
81,5,0.903,0.268,0.301,0.176,0.158,0,0,0,0,0,1+1+3,1,0,40198
82,5,1.049,0.357,0.317,0.217,0.158,0,0,0,0,0,1+1+3,1,0,40198
83,5,1.139,0.375,0.369,0.216,0.179,0,0,0,0,0,1+1+3,1,0,40198
84,5,1.187,0.385,0.403,0.208,0.191,0,0,0,0,0,1+1+3,1,0,40198
85,5,0.858,0.232,0.311,0.159,0.156,0,0,0,0,0,1+1+3,1,0,40198
86,5,0.915,0.278,0.305,0.189,0.143,0,0,0,0,0,1+1+3,1,0,40198
87,5,1.211,0.408,0.405,0.219,0.179,0,0,0,0,0,1+1+3,1,0,40198
88,5,1.235,0.417,0.412,0.226,0.18,0,0,0,0,0,1+1+3,1,0,40198
89,5,1.078,0.368,0.352,0.203,0.155,0,0,0,0,0,1+1+3,1,0,40198
90,5,1.065,0.337,0.357,0.219,0.152,0,0,0,0,0,1+1+3,1,0,40198
91,9,0.973,0.167,0.21,0.122,0.089,0.08,0.082,0.088,0.135,0,9I,1,0,40198
96,3,0.407,0.202,0.205,0,0,0,0,0,0,0,NOISE,1,0,40198
97,5,0.539,0.134,0.18,0.115,0.11,0,0,0,0,0,5R2,1,0,40198
98,5,0.542,0.181,0.155,0.11,0.096,0,0,0,0,0,1+1+3,1,0,40198
99,5,0.592,0.189,0.188,0.123,0.092,0,0,0,0,0,1+1+3,1,0,40198
100,5,0.836,0.263,0.262,0.17,0.141,0,0,0,0,0,1+1+3,1,0,40198
101,5,0.758,0.252,0.234,0.119,0.153,0,0,0,0,0,1+1+3,1,0,40198
102,5,0.912,0.298,0.297,0.166,0.151,0,0,0,0,0,1+1+3,1,0,40198
103,5,0.832,0.264,0.271,0.168,0.129,0,0,0,0,0,1+1+3,1,0,40198
104,5,0.662,0.238,0.127,0.193,0.104,0,0,0,0,0,1+1+3,1,0,40198
105,5,0.787,0.243,0.266,0.151,0.127,0,0,0,0,0,1+1+3,1,0,40198
106,5,0.767,0.262,0.236,0.14,0.129,0,0,0,0,0,1+1+3,1,0,40198
107,5,0.732,0.259,0.203,0.138,0.132,0,0,0,0,0,1+1+3,1,0,40198
108,5,0.768,0.223,0.239,0.175,0.131,0,0,0,0,0,1+1+3,1,0,40198
109,5,0.77,0.221,0.249,0.174,0.126,0,0,0,0,0,1+1+3,1,0,40198
110,5,0.791,0.259,0.243,0.147,0.142,0,0,0,0,0,1+1+3,1,0,40198
111,5,1.031,0.373,0.374,0.137,0.147,0,0,0,0,0,1+1+3,1,0,40198
112,6,0.73,0.17,0.191,0.129,0.099,0.141,0,0,0,0,NOISE,1,0,40198
113,6,0.685,0.134,0.233,0.112,0.107,0.099,0,0,0,0,NOISE,1,0,40198
114,6,0.644,0.221,0.128,0.121,0.077,0.097,0,0,0,0,NOISE,1,0,40198
115,4,0.968,0.312,0.337,0.319,0,0,0,0,0,0,4R2,1,0,40198
116,4,0.661,0.346,0.17,0.145,0,0,0,0,0,0,1+32,1,0,40198
117,5,0.936,0.314,0.284,0.19,0.148,0,0,0,0,0,1+1+3,1,0,40198
118,5,0.888,0.293,0.262,0.181,0.152,0,0,0,0,0,1+1+3,1,0,40198
119,4,1.012,0.34,0.336,0.336,0,0,0,0,0,0,4R2,1,0,40198
120,4,1.113,0.363,0.378,0.372,0,0,0,0,0,0,4R2,1,0,40198
121,5,0.942,0.349,0.272,0.176,0.145,0,0,0,0,0,1+1+3,1,0,40198
122,5,0.958,0.305,0.326,0.192,0.135,0,0,0,0,0,1+1+3,1,0,40198
123,5,0.877,0.268,0.295,0.17,0.144,0,0,0,0,0,1+1+3,1,0,40198
124,5,1.051,0.34,0.335,0.206,0.17,0,0,0,0,0,1+1+3,1,0,40198
125,5,1.223,0.343,0.465,0.206,0.209,0,0,0,0,0,1+1+3,1,0,40198
126,5,1.007,0.309,0.355,0.176,0.167,0,0,0,0,0,1+1+3,1,0,40198
127,5,1.447,0.447,0.522,0.229,0.249,0,0,0,0,0,1+1+3,1,0,40198
128,3,0.528,0.26,0.268,0,0,0,0,0,0,0,NOISE,1,0,40234
129,3,0.545,0.268,0.277,0,0,0,0,0,0,0,NOISE,1,0,40234
130,4,0.84,0.292,0.291,0.257,0,0,0,0,0,0,4R2,1,0,40234
131,4,0.83,0.273,0.278,0.279,0,0,0,0,0,0,4R2,1,0,40234
132,4,0.839,0.276,0.278,0.285,0,0,0,0,0,0,4R2,1,0,40234
133,4,0.851,0.267,0.289,0.295,0,0,0,0,0,0,4R2,1,0,40234
134,4,0.832,0.27,0.281,0.281,0,0,0,0,0,0,4R2,1,0,40234
135,4,0.877,0.3,0.291,0.286,0,0,0,0,0,0,4R2,1,0,40234
136,4,0.897,0.302,0.303,0.292,0,0,0,0,0,0,4R2,1,0,40234
137,4,0.893,0.29,0.297,0.306,0,0,0,0,0,0,4R2,1,0,40234
138,4,0.91,0.308,0.297,0.305,0,0,0,0,0,0,4R2,1,0,40234
139,4,1.013,0.34,0.331,0.342,0,0,0,0,0,0,4R2,1,0,40234
140,4,1.037,0.344,0.341,0.352,0,0,0,0,0,0,4R2,1,0,40234
141,4,1.07,0.361,0.347,0.362,0,0,0,0,0,0,4R2,1,0,40234
