Whale Birth Audio_annotations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recording,SegmentWhale,Coda,TfS,ICI1,ICI2,ICI3,ICI4,ICI5,ICI6,ICI7,ICI8,ICI9,ICI10,ICI11,ICI12,ICI13,ICI14,ICI15,ICI16,ICI17,ICI18,ICI19,ICI20,ICI21,ICI22,ICI23,ICI24,ICI25,ICI26,ICI27,ICI28,ICI29,ICI30,ICI31,ICI32,ICI33,ICI34,ICI35,ICI36,ICI37,ICI38,ICI39,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52
CETI23-277,2,0,19.63327,0.22298,0.22204,0.1496,0.126080000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CETI23-277,1,0,20.4835,0.220559999999999,0.231810000000003,0.166439999999998,0.12604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CETI23-277,1,0,21.38112,0.243950000000002,0.165319999999998,0.140460000000001,0.134409999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CETI23-277,1,0,23.74725,0.217869999999998,0.229420000000001,0.166879999999999,0.12904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CETI23-277,1,0,25.41548,0.256710000000002,0.16262,0.13063,0.13158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CETI23-277,1,0,26.50806,0.227959999999999,0.219360000000002,0.233329999999999,0.159140000000001,0.130109999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CETI23-277,2,0,27.11344,0.21828,0.227959999999999,0.16236,0.13119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CETI23-277,1,0,28.31402,0.01342,0.0101399999999998,0.0234000000000023,0.017789999999998,0.0185600000000008,0.0341500000000003,0.0211199999999998,0.0133799999999979,0.0120000000000005,0.012080000000001,0.0159599999999998,0.0101900000000015,0.0164599999999986,0.0157899999999991,0.0154100000000028,0.0181699999999978,0.0135600000000018,0.0214199999999991,0.0133800000000015,0.0120999999999967,0.0187100000000022,0.0162699999999987,0.015270000000001,0.0161200000000008,0.0157500000000006,0.0157799999999995,0.0321999999999996,0.041879999999999,0.0922300000000007,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CETI23-277,1,0,30.00746,0.216810000000002,0.178149999999999,0.133770000000002,0.145619999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CETI23-277,2,0,30.52204,0.263439999999999,0.19248,0.15269,0.13655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
