source,source_coda_id,coda_type_gero21,classifier_origin
sharma2025_birth,row132,4D,pacific-matched
sharma2025_birth,row133,1+1+3,pacific-matched
sharma2025_birth,row134,6-NOISE,discovery-noise
sharma2025_birth,row135,5R2,pacific-matched
sharma2025_birth,row136,1+1+3,pacific-matched
sharma2025_birth,row137,1+1+3,pacific-matched
sharma2025_birth,row138,6R,pacific-matched
sharma2025_birth,row139,4R2,pacific-matched
sharma2025_birth,row140,4R2,pacific-matched
sharma2025_birth,row141,1+1+3,pacific-matched
sharma2025_birth,row142,1+1+3,pacific-matched
sharma2025_birth,row143,1+1+3,pacific-matched
sharma2025_birth,row144,4R2,pacific-matched
sharma2025_birth,row145,1+1+3,pacific-matched
sharma2025_birth,row146,1+1+3,pacific-matched
sharma2025_birth,row147,4R2,pacific-matched
sharma2025_birth,row148,1+1+3,pacific-matched
sharma2025_birth,row149,1+1+3,pacific-matched
sharma2025_birth,row150,1+1+3,pacific-matched
sharma2025_birth,row151,1+1+3,pacific-matched
sharma2025_birth,row152,7D1,pacific-matched
sharma2025_birth,row153,1+1+3,pacific-matched
sharma2025_birth,row154,6i,pacific-matched
sharma2025_birth,row155,1+1+3,pacific-matched
sharma2025_birth,row156,1+1+3,pacific-matched
sharma2025_birth,row157,4R2,pacific-matched
sharma2025_birth,row158,6-NOISE,discovery-noise
sharma2025_birth,row159,1+1+3,pacific-matched
sharma2025_birth,row160,4R2,pacific-matched
sharma2025_birth,row161,7R,pacific-matched
sharma2025_birth,row162,1+1+3,pacific-matched
sharma2025_birth,row163,1+1+3,pacific-matched
sharma2025_birth,row164,1+1+3,pacific-matched
sharma2025_birth,row165,1+1+3,pacific-matched
sharma2025_birth,row166,1+1+3,pacific-matched
sharma2025_birth,row167,1+1+3,pacific-matched
sharma2025_birth,row168,1+1+3,pacific-matched
sharma2025_birth,row169,1+1+3,pacific-matched
sharma2025_birth,row170,1+1+3,pacific-matched
sharma2025_birth,row171,1+1+3,pacific-matched
sharma2025_birth,row172,1+1+3,pacific-matched
sharma2025_birth,row173,4R2,pacific-matched
sharma2025_birth,row174,6R,pacific-matched
sharma2025_birth,row175,6-NOISE,discovery-noise
sharma2025_birth,row176,1+1+3,pacific-matched
sharma2025_birth,row177,5R3,pacific-matched
sharma2025_birth,row178,1+1+3,pacific-matched
sharma2025_birth,row179,1+1+3,pacific-matched
sharma2025_birth,row180,5R2,pacific-matched
sharma2025_birth,row181,1+1+3,pacific-matched
sharma2025_birth,row182,1+1+3,pacific-matched
sharma2025_birth,row183,9-NOISE,discovery-noise
sharma2025_birth,row184,1+1+3,pacific-matched
sharma2025_birth,row185,1+1+3,pacific-matched
sharma2025_birth,row186,1+1+3,pacific-matched
sharma2025_birth,row187,1+1+3,pacific-matched
sharma2025_birth,row188,3RP3,discovery-cluster
sharma2025_birth,row189,1+1+3,pacific-matched
sharma2025_birth,row190,8R,pacific-matched
sharma2025_birth,row191,1+1+3,pacific-matched
sharma2025_birth,row192,1+1+3,pacific-matched
sharma2025_birth,row193,1+1+3,pacific-matched
sharma2025_birth,row194,1+1+3,pacific-matched
sharma2025_birth,row195,1+1+3,pacific-matched
sharma2025_birth,row196,1+1+3,pacific-matched
sharma2025_birth,row197,1+1+3,pacific-matched
sharma2025_birth,row198,1+1+3,pacific-matched
sharma2025_birth,row199,1+1+3,pacific-matched
sharma2025_birth,row200,1+1+3,pacific-matched
sharma2025_birth,row201,1+1+3,pacific-matched
sharma2025_birth,row202,1+1+3,pacific-matched
sharma2025_birth,row203,1+1+3,pacific-matched
sharma2025_birth,row204,1+1+3,pacific-matched
sharma2025_birth,row205,1+1+3,pacific-matched
sharma2025_birth,row206,1+1+3,pacific-matched
sharma2025_birth,row207,1+1+3,pacific-matched
sharma2025_birth,row208,5R2,pacific-matched
sharma2025_birth,row209,1+1+3,pacific-matched
sharma2025_birth,row210,1+1+3,pacific-matched
sharma2025_birth,row211,1+1+3,pacific-matched
sharma2025_birth,row212,1+1+3,pacific-matched
sharma2025_birth,row213,1+1+3,pacific-matched
sharma2025_birth,row214,1+1+3,pacific-matched
sharma2025_birth,row215,1+1+3,pacific-matched
sharma2025_birth,row216,1+1+3,pacific-matched
sharma2025_birth,row217,4DP1,discovery-cluster
sharma2025_birth,row218,3D,pacific-matched
sharma2025_birth,row219,1+1+3,pacific-matched
sharma2025_birth,row220,1+1+3,pacific-matched
sharma2025_birth,row221,1+1+3,pacific-matched
sharma2025_birth,row222,1+1+3,pacific-matched
sharma2025_birth,row223,1+1+3,pacific-matched
sharma2025_birth,row224,1+1+3,pacific-matched
sharma2025_birth,row225,1+1+3,pacific-matched
sharma2025_birth,row226,1+1+3,pacific-matched
sharma2025_birth,row227,1+1+3,pacific-matched
sharma2025_birth,row228,1+1+3,pacific-matched
sharma2025_birth,row229,1+1+3,pacific-matched
sharma2025_birth,row230,1+1+3,pacific-matched
sharma2025_birth,row231,6-NOISE,discovery-noise
sharma2025_birth,row232,1+1+3,pacific-matched
sharma2025_birth,row233,1+1+3,pacific-matched
sharma2025_birth,row234,1+31,pacific-matched
sharma2025_birth,row235,1+1+3,pacific-matched
sharma2025_birth,row236,1+1+3,pacific-matched
sharma2025_birth,row237,4P1,discovery-cluster
sharma2025_birth,row238,4P1,discovery-cluster
sharma2025_birth,row239,6R,pacific-matched
sharma2025_birth,row240,1+1+3,pacific-matched
sharma2025_birth,row241,6R,pacific-matched
sharma2025_birth,row242,6R,pacific-matched
sharma2025_birth,row243,2+3,pacific-matched
sharma2025_birth,row244,6-NOISE,discovery-noise
sharma2025_birth,row245,1+1+3,pacific-matched
sharma2025_birth,row246,6-NOISE,discovery-noise
sharma2025_birth,row247,6-NOISE,discovery-noise
sharma2025_birth,row248,5-NOISE,discovery-noise
sharma2025_birth,row249,1+1+3,pacific-matched
sharma2025_birth,row250,6-NOISE,discovery-noise
sharma2025_birth,row251,1+1+3,pacific-matched
sharma2025_birth,row252,5R1,pacific-matched
sharma2025_birth,row253,5R2,pacific-matched
sharma2025_birth,row254,6-NOISE,discovery-noise
sharma2025_birth,row255,1+1+3,pacific-matched
sharma2025_birth,row256,5-NOISE,discovery-noise
sharma2025_birth,row257,1+1+3,pacific-matched
sharma2025_birth,row258,1+1+3,pacific-matched
sharma2025_birth,row259,1+1+3,pacific-matched
sharma2025_birth,row260,1+1+3,pacific-matched
sharma2025_birth,row261,1+1+3,pacific-matched
sharma2025_birth,row262,1+1+3,pacific-matched
sharma2025_birth,row263,1+1+3,pacific-matched
sharma2025_birth,row264,1+1+3,pacific-matched
sharma2025_birth,row265,1+1+3,pacific-matched
sharma2025_birth,row266,1+1+3,pacific-matched
sharma2025_birth,row267,1+1+3,pacific-matched
sharma2025_birth,row268,1+1+3,pacific-matched
sharma2025_birth,row269,1+1+3,pacific-matched
sharma2025_birth,row270,1+1+3,pacific-matched
sharma2025_birth,row271,1+1+3,pacific-matched
sharma2025_birth,row272,1+1+3,pacific-matched
sharma2025_birth,row273,1+1+3,pacific-matched
sharma2025_birth,row274,1+1+3,pacific-matched
sharma2025_birth,row275,1+1+3,pacific-matched
sharma2025_birth,row276,1+1+3,pacific-matched
sharma2025_birth,row277,1+1+3,pacific-matched
sharma2025_birth,row278,4RP6,discovery-cluster
sharma2025_birth,row279,1+1+3,pacific-matched
sharma2025_birth,row280,1+1+3,pacific-matched
sharma2025_birth,row281,1+1+3,pacific-matched
sharma2025_birth,row282,1+1+3,pacific-matched
sharma2025_birth,row283,1+1+3,pacific-matched
sharma2025_birth,row284,7-NOISE,discovery-noise
sharma2025_birth,row285,1+1+3,pacific-matched
sharma2025_birth,row286,1+1+3,pacific-matched
sharma2025_birth,row287,1+1+3,pacific-matched
sharma2025_birth,row288,1+1+3,pacific-matched
sharma2025_birth,row289,1+1+3,pacific-matched
sharma2025_birth,row290,1+1+3,pacific-matched
sharma2025_birth,row291,1+1+3,pacific-matched
sharma2025_birth,row292,1+1+3,pacific-matched
sharma2025_birth,row293,1+1+3,pacific-matched
sharma2025_birth,row294,1+1+3,pacific-matched
sharma2025_birth,row295,1+1+3,pacific-matched
sharma2025_birth,row296,1+1+3,pacific-matched
sharma2025_birth,row297,4R2,pacific-matched
sharma2025_birth,row298,1+1+3,pacific-matched
sharma2025_birth,row299,6-NOISE,discovery-noise
sharma2025_birth,row300,6-NOISE,discovery-noise
sharma2025_birth,row301,1+1+3,pacific-matched
sharma2025_birth,row302,1+1+3,pacific-matched
sharma2025_birth,row303,1+1+3,pacific-matched
sharma2025_birth,row304,7-NOISE,discovery-noise
sharma2025_birth,row305,1+1+3,pacific-matched
sharma2025_birth,row306,4R2,pacific-matched
sharma2025_birth,row307,1+1+3,pacific-matched
